%FE,emulsion_temp,emulsion_pr,rod_quench_cw_exit,casting_wheel_rpm,rod_quench_cw_entry,rm_motor_cooling_water_pressure ,rolling_mill_amp,cool_water_flow,cooling_water_pressure,cooling_water_temp,rolling_mill_rpm,Grade_encoded,UTS,elongation,Conductivity,Grade
0.14,60.46659851,2.137821198,6.531974372,2.065722704,337.8262708,1.690565109,307.0483398,123.4874268,4.199173503975748,37.823042689715855,883.856084055071,2,10.1,15.9,62.0,WE10
0.14,60.40429688,2.112472534,6.538491151,2.050012112,337.196591,1.673231125,327.4829102,123.4186401,4.45,40.10192008587069,764.0897924979229,4,10.6,13.6,61.0,WE20
0.14,60.38056946,2.071805954,6.543005213,2.046588182,337.5068532,1.69257164,329.2236328,123.4248657,3.8441583252876086,35.973294198755795,784.133618741817,4,9.6,20.8,61.0,WE20
0.14,60.39793396,2.109312057,6.545484768,2.0625,336.7739222,1.66239357,300.2368164,123.4028931,3.9568894824800416,35.471120960243354,831.2444165867394,2,9.7,16.1,62.0,WE10
0.14,60.32537842,2.107847214,6.531211432,2.050616503,336.9850023,1.693239212,347.6147461,123.418335,4.265890229492769,37.753746337854814,767.297024683528,2,9.8,14.2,62.0,WE10
0.14,60.28663635,2.11697197,6.584585443,2.045379639,336.55623,1.687261581,316.6601563,123.3895264,4.3613903052337175,38.16648373133515,856.1339914617622,2,10.1,13.1,62.0,WE10
0.14,60.3145752,2.114578247,6.545834449,2.046789646,336.1859498,1.708314896,306.2915039,123.3829956,4.02357495834929,37.13369091098502,719.6130751879709,2,9.9,13.6,62.0,WE10
0.12,60.20875549,2.083246231,6.542528375,2.048602343,337.3517221,1.685174942,307.8051758,123.5287476,3.774510072015283,37.10814856087881,731.552728788807,2,9.6,14.9,62.0,WE10
0.14,60.20875549,2.083246231,6.542528375,2.048602343,337.3517221,1.685174942,307.8051758,123.5287476,4.039841901933437,39.5263279493823,726.1076209385768,2,10.2,14.9,62.0,WE10
0.14,60.23149109,2.086935043,6.56026673,2.046386719,336.9163377,1.700439453,321.1254883,123.4074707,3.954175216285265,37.06563423378489,833.0309641964433,2,10.2,14.1,62.0,WE10
0.14,60.13702393,2.078580856,6.484862827,2.046386719,332.9114113,1.661809921,306.9726563,122.0786133,4.36875362004141,39.51964566570986,850.8266424660039,2,10.1,12.5,62.0,WE10
0.14,60.13800049,2.085645676,6.46833246,2.053436279,332.2329033,1.665504456,343.2250977,122.0635986,3.4973640577567258,39.42161510633164,788.1880672388749,2,10.1,14.6,62.0,WE10
0.14,60.12564087,2.103033066,6.529812709,2.052429199,336.3822797,1.685218811,322.4121094,123.090332,3.983891123849933,38.39960372192534,811.2959589403332,2,9.7,13.9,62.0,WE10
0.12,60.08889771,2.115814209,6.553177746,2.06552124,336.9794074,1.689382553,312.043457,123.418335,4.282665082256751,37.92143851527127,730.9522608673759,2,10.8,11.5,62.0,WE10
0.13,60.01982117,2.101211548,6.53127501,2.047393799,335.5516923,1.666376114,355.4101563,123.1033936,4.089466367647401,38.59690351929466,808.3886535558323,2,9.9,14.8,62.0,WE10
0.13,60.01982117,2.101211548,6.53127501,2.047393799,335.5516923,1.666376114,355.4101563,123.1033936,3.87751258477921,39.17935646496573,770.9710043713075,2,10.7,11.6,62.0,WE10
0.13,59.97477722,2.111553192,6.522183309,2.059680223,336.1874756,1.689821243,308.9404297,123.4801636,4.402391443133818,39.50363432741407,777.2332992708842,2,10.6,11.6,62.0,WE10
0.12,59.97477722,2.111553192,6.522183309,2.059680223,336.1874756,1.689821243,308.9404297,123.4801636,4.336513821516933,36.51687906411344,818.4821003758257,2,10.8,12.2,62.0,WE10
0.13,59.97477722,2.111553192,6.522183309,2.059680223,336.1874756,1.689821243,308.9404297,123.4801636,3.3513148425390047,38.75179548412698,693.9728237253407,2,10.4,12.7,62.0,WE10
0.12,59.97477722,2.111553192,6.522183309,2.059680223,336.1874756,1.689821243,308.9404297,123.4801636,3.41176227702118,36.91747665405836,754.1509608691653,2,10.7,14.6,62.0,WE10
0.13,59.97758484,2.120668411,6.521547525,2.059277296,336.1289836,1.678539276,290.1708984,123.4810791,3.3511827953703786,39.169296406361774,883.7243195706961,2,10.5,14.4,62.0,WE10
0.13,59.97758484,2.120668411,6.521547525,2.059277296,336.1289836,1.678539276,290.1708984,123.4810791,4.242962503262198,38.04600393865272,841.3272502821903,2,9.7,15.2,62.0,WE10
0.12,60.02386475,2.078718185,6.51067563,2.060687304,336.5389367,1.688529968,280.8618164,123.4536743,3.6603901768236953,42.21,831.0235060375438,2,10.4,16.8,62.0,WE10
0.12,60.02386475,2.078718185,6.51067563,2.060687304,336.5389367,1.688529968,280.8618164,123.4536743,3.824774468734531,39.2163067797386,760.3068781630618,2,10.1,17.8,62.0,WE10
0.13,60.05426025,2.096097946,6.45459954,2.049005032,336.7896896,1.697563171,280.8618164,123.2842407,3.723905201769201,36.89836885111179,791.4857843027704,2,9.8,15.3,62.0,WE10
